,title,mal id,type,score,total episodes,english title,air date start,air date end,average score,rank,popularity,genre,studio,source,season
0,1000-nen Joou: Queen Millennia,1549,Movie,6,1,,1982-03-13T00:00:00+00:00,,6.81,4343,7180,Adventure,Toei Animation,Manga,
1,1001 Nights,3914,Movie,0,1,,1999-04-24T00:00:00+00:00,,6.3,6761,4862,Demons,,Unknown,
2,A Kite,320,OVA,6,2,Kite,1998-02-25T00:00:00+00:00,1998-10-25T00:00:00+00:00,6.57,,2255,Action,Arms,Original,
3,A-Girl,5447,OVA,8,1,A-Girl,1993-09-24T00:00:00+00:00,,5.58,9259,8728,Music,Madhouse,Manga,
4,Abenobashi Mahou☆Shoutengai,306,TV,9,13,Magical☆Shopping Arcade Abenobashi,2002-04-04T00:00:00+00:00,2002-06-27T00:00:00+00:00,7.26,2503,1718,Comedy,Gainax,Original,Spring 2002
5,Africa no Salaryman (TV),39590,TV,6,12,Africa Salaryman,2019-10-07T00:00:00+00:00,2019-12-23T00:00:00+00:00,6.51,5738,3732,Slice of Life,HOTZIPANG,Web manga,Fall 2019
6,Ahiru Rikusentai,28241,Movie,6,1,Duck Brigade,1940-01-01T00:00:00+00:00,,5.13,10170,10849,Action,,Original,
7,Aho Girl,34881,TV,8,12,AHO-GIRL,2017-07-04T00:00:00+00:00,2017-09-19T00:00:00+00:00,6.95,3769,403,Comedy,Diomedea,4-koma manga,Summer 2017
8,AIKa,366,OVA,5,7,Agent AIKa,1997-04-25T00:00:00+00:00,1999-04-25T00:00:00+00:00,5.95,8208,3079,Action,Studio Fantasia,Original,
9,AIKa: Special Trial,4718,Special,5,1,,1998-05-25T00:00:00+00:00,,5.69,8972,5849,Ecchi,Studio Fantasia,Original,
10,Akira,47,Movie,8,1,AKIRA,1988-07-16T00:00:00+00:00,,8.17,330,198,Action,Tokyo Movie Shinsha,Manga,
11,Aku no Hana,16201,TV,6,13,Flowers of Evil,2013-04-05T00:00:00+00:00,2013-06-30T00:00:00+00:00,7.15,2947,891,Psychological,Zexcs,Manga,Spring 2013
12,Aldnoah.Zero,22729,TV,6,12,Aldnoah.Zero,2014-07-06T00:00:00+00:00,2014-09-21T00:00:00+00:00,7.46,1695,277,Action,A-1 Pictures,Original,Summer 2014
13,Aldnoah.Zero 2nd Season,27655,TV,5,12,Aldnoah.Zero,2015-01-11T00:00:00+00:00,2015-03-29T00:00:00+00:00,7.01,3556,509,Action,A-1 Pictures,Original,Winter 2015
14,Alexander Senki,1442,TV,7,13,Reign: The Conqueror,1999-09-15T00:00:00+00:00,1999-09-18T00:00:00+00:00,5.72,8900,5736,Action,Madhouse,Novel,Summer 1999
15,Ali Baba to 40-hiki no Touzoku,3843,Movie,0,1,,1971-07-08T00:00:00+00:00,,5.53,9391,9777,Action,Toei Animation,Unknown,
16,Alice in Dreamland,31941,Movie,7,1,,2015-12-19T00:00:00+00:00,,5.21,10046,9303,Adventure,,Other,
17,All That Gundam,5270,Special,0,1,All That Gundam,1989-01-01T00:00:00+00:00,,5.81,8633,6659,Action,Sunrise,Unknown,
18,Amagi Brilliant Park,22147,TV,7,13,Amagi Brilliant Park,2014-10-07T00:00:00+00:00,2014-12-26T00:00:00+00:00,7.54,1453,230,Comedy,Kyoto Animation,Light novel,Fall 2014
19,Amazing Nuts!,1998,Music,6,4,,2006-12-20T00:00:00+00:00,,6.59,5371,5165,Adventure,Studio 4°C,Original,
20,Angel Cop,1351,OVA,6,6,,1989-09-01T00:00:00+00:00,1994-05-20T00:00:00+00:00,5.94,8249,4339,Action,D.A.S.T.,Original,
21,Ani*Kuri15,2832,Special,0,15,,2007-06-07T00:00:00+00:00,2007-06-27T00:00:00+00:00,6.8,4392,3645,Slice of Life,Gonzo,Original,
22,Animation Seisaku Shinkou Kuromi-chan,1797,OVA,7,1,Animation Runner Kuromi,2001-03-30T00:00:00+00:00,,6.93,3846,5157,Comedy,Yumeta Company,Unknown,
23,Animation Seisaku Shinkou Kuromi-chan 2,1798,OVA,7,1,Animation Runner Kuromi 2,2004-01-28T00:00:00+00:00,,6.95,3773,6238,Comedy,Yumeta Company,Unknown,
24,Ao Haru Ride,21995,TV,7,12,Blue Spring Ride,2014-07-08T00:00:00+00:00,2014-09-23T00:00:00+00:00,7.68,1078,186,Comedy,Production I.G,Manga,Summer 2014
25,Ao no 6-gou,1051,OVA,0,4,Blue Submarine No. 6,1998-10-25T00:00:00+00:00,2000-03-25T00:00:00+00:00,7.05,3414,2305,Action,Gonzo,Manga,
26,Ao Oni The Animation,33814,TV,0,13,Aooni The Blue Monster,2016-10-03T00:00:00+00:00,2017-01-09T00:00:00+00:00,5.15,10134,3892,Comedy,Studio Deen,Game,Fall 2016
27,Appleseed,937,OVA,7,1,,1988-04-21T00:00:00+00:00,,6.62,5239,3227,Action,Gainax,Manga,
28,Area 88,1488,OVA,8,3,,1985-02-05T00:00:00+00:00,1986-06-15T00:00:00+00:00,7.53,1482,4248,Action,Studio Pierrot,Manga,
29,Area 88 Movie,33232,Movie,7,1,,1985-07-20T00:00:00+00:00,,6.46,6014,10009,Action,,Manga,
30,Aru Machi Kado no Monogatari,1497,Movie,8,1,Tales of the Street Corner,1962-11-05T00:00:00+00:00,,6.63,5181,7432,Drama,,Original,
31,Asobi Asobase,37171,TV,8,12,Asobi Asobase: Workshop Of Fun,2018-07-08T00:00:00+00:00,2018-09-23T00:00:00+00:00,8.19,312,530,Comedy,Lerche,Manga,Summer 2018
32,Ayakashi: Japanese Classic Horror,586,TV,7,11,,2006-01-13T00:00:00+00:00,2006-03-24T00:00:00+00:00,7.46,1697,2037,Mystery,Toei Animation,Other,Winter 2006
33,Azumanga Daioh,66,TV,8,26,Azumanga Daioh: The Animation,2002-04-09T00:00:00+00:00,2002-10-01T00:00:00+00:00,7.98,556,512,Slice of Life,J.C.Staff,4-koma manga,Spring 2002
34,Babylon,37525,TV,2,12,,2019-10-07T00:00:00+00:00,2020-01-28T00:00:00+00:00,6.86,4159,1338,Mystery,Revoroot,Novel,Fall 2019
35,Baccano!,2251,TV,8,13,Baccano!,2007-07-27T00:00:00+00:00,2007-11-02T00:00:00+00:00,8.42,132,119,Action,Brain's Base,Light novel,Summer 2007
36,Bakemonogatari,5081,TV,8,15,Bakemonogatari,2009-07-03T00:00:00+00:00,2010-06-25T00:00:00+00:00,8.36,172,58,Romance,Shaft,Light novel,Summer 2009
37,Baoh Raihousha,1468,OVA,7,1,Baoh the Visitor,1989-09-16T00:00:00+00:00,,6.12,7574,4368,Action,Studio Pierrot,Manga,
38,Battle Royal High School,3625,OVA,6,1,Battle Royal High School,1987-12-10T00:00:00+00:00,,5.58,9260,5978,Action,AIC,Manga,
39,Battle Spirits: Ryuuko no Ken,1009,OVA,6,1,Art of Fighting,1993-12-23T00:00:00+00:00,,4.84,10456,7799,Action,,Game,
40,Beastars,39195,TV,8,12,,2019-10-10T00:00:00+00:00,2019-12-26T00:00:00+00:00,8.1,409,327,Slice of Life,Orange,Manga,Fall 2019
41,Bernard-jou Iwaku.,33462,TV,8,12,Miss Bernard said.,2016-10-07T00:00:00+00:00,2016-12-23T00:00:00+00:00,6,8074,3674,Comedy,Creators in Pack,Manga,Fall 2016
42,Berserk: Ougon Jidai-hen I - Haou no Tamago,10218,Movie,6,1,Berserk: The Golden Age Arc I - The Egg of the King,2012-02-04T00:00:00+00:00,,7.77,870,882,Action,Studio 4°C,Manga,
43,Bio Hunter,1269,OVA,7,1,,1995-12-08T00:00:00+00:00,,5.94,8251,4752,Action,Madhouse,Manga,
44,Bishoujo Senshi Sailor Moon,530,TV,7,46,Sailor Moon,1992-03-07T00:00:00+00:00,1993-02-27T00:00:00+00:00,7.68,1079,503,Demons,Toei Animation,Manga,Spring 1992
45,Bishoujo Senshi Sailor Moon R: The Movie,531,Movie,8,1,Sailor Moon R: The Movie - The Promise of the Rose,1993-12-05T00:00:00+00:00,,7.7,1026,2172,Drama,Toei Animation,Manga,
46,Black Jack the Movie,1521,Movie,8,1,Black Jack: The Movie,1996-11-30T00:00:00+00:00,,7.33,2182,4767,Drama,Tezuka Productions,Manga,
47,Black Magic M-66,1270,OVA,9,1,,1987-06-28T00:00:00+00:00,,6.39,6342,4557,Action,AIC,Manga,
48,Blood: The Last Vampire,405,Movie,7,1,Blood: The Last Vampire,2000-11-18T00:00:00+00:00,,6.91,3938,1431,Horror,Production I.G,Original,
49,Bohemian Rhapsody,8939,Music,0,1,,2009-12-23T00:00:00+00:00,,5.8,8682,6464,Music,,Manga,
50,Boku no Hero Academia,31964,TV,6,13,My Hero Academia,2016-04-03T00:00:00+00:00,2016-06-26T00:00:00+00:00,8.17,332,7,Action,Bones,Manga,Spring 2016
51,Boku no Hero Academia 2nd Season,33486,TV,7,25,My Hero Academia 2,2017-04-01T00:00:00+00:00,2017-09-30T00:00:00+00:00,8.4,153,17,Action,Bones,Manga,Spring 2017
52,Bounty Hunter: The Hard,4522,OVA,7,1,,1996-05-01T00:00:00+00:00,,5.8,8683,10391,Action,J.C.Staff,Manga,
53,Brain Powerd,1542,TV,8,26,,1998-04-08T00:00:00+00:00,1998-11-11T00:00:00+00:00,6.12,7579,5252,Action,Sunrise,Original,Spring 1998
54,Bubblegum Crisis,1347,OVA,0,8,,1987-02-25T00:00:00+00:00,1991-01-30T00:00:00+00:00,7.29,2362,2693,Adventure,AIC,Original,
55,Bungou Stray Dogs,31478,TV,8,12,Bungo Stray Dogs,2016-04-07T00:00:00+00:00,2016-06-23T00:00:00+00:00,7.78,859,116,Action,Bones,Manga,Spring 2016
56,C: The Money of Soul and Possibility Control,10163,TV,8,11,[C] CONTROL - The Money and Soul of Possibility,2011-04-15T00:00:00+00:00,2011-06-24T00:00:00+00:00,7.26,2508,547,Action,Tatsunoko Production,Original,Spring 2011
57,Call Me Tonight,2147,OVA,7,1,Call Me Tonight,1986-07-28T00:00:00+00:00,,5.3,9889,5485,Comedy,AIC,Unknown,
58,Casshern: Robot Hunter,1598,OVA,0,4,Casshan: Robot Hunter,1993-08-21T00:00:00+00:00,1994-02-21T00:00:00+00:00,6.35,6514,5562,Adventure,Tatsunoko Production,Unknown,
59,Cello Hiki no Gauche (1982),1049,Movie,9,1,Gauche the Cellist,1982-01-23T00:00:00+00:00,,6.92,3914,4467,Music,Oh! Production,Book,
60,Chibi Maruko-chan Movie,3203,Movie,6,1,,1990-12-15T00:00:00+00:00,,7.17,2857,9255,Comedy,,Manga,
61,Chibi Maruko-chan: Watashi no Suki na Uta,9348,Movie,10,1,,1992-12-19T00:00:00+00:00,,7.06,3387,9909,Music,Nippon Animation,Manga,
62,Chihayafuru,10800,TV,9,25,Chihayafuru,2011-10-05T00:00:00+00:00,2012-03-28T00:00:00+00:00,8.25,255,367,Drama,Madhouse,Manga,Fall 2011
63,Chika Gentou Gekiga: Shoujo Tsubaki,2981,Movie,8,1,Midori,1992-05-02T00:00:00+00:00,,5.93,8275,3404,Drama,,Manga,
64,Choboraunyopomi Gekijou Ai Mai Mii,16169,TV,8,13,Ai-Mai-Mi,2013-01-03T00:00:00+00:00,2013-03-27T00:00:00+00:00,5.84,8557,3109,Comedy,Seven,4-koma manga,Winter 2013
65,Choboraunyopomi Gekijou Dai Ni Maku Ai Mai Mii: Mousou Catastrophe,23551,TV,8,12,Ai-Mai-Mi Mousou Catastrophe,2014-07-08T00:00:00+00:00,2014-09-23T00:00:00+00:00,5.99,8103,4615,Comedy,Seven,4-koma manga,Summer 2014
66,Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends,34295,TV,0,12,Ai-Mai-Mi Surgical Friends,2017-01-03T00:00:00+00:00,2017-03-21T00:00:00+00:00,6.11,7605,5185,Slice of Life,Seven,4-koma manga,Winter 2017
67,Chokin Senshi Cashman,6484,OVA,6,1,,1997-07-29T00:00:00+00:00,,5.69,8980,9687,Action,,Unknown,
68,Chuukan Kanriroku Tonegawa,37338,TV,9,24,Mr. Tonegawa: Middle Management Blues,2018-07-04T00:00:00+00:00,2018-12-26T00:00:00+00:00,7.14,3020,2902,Comedy,Madhouse,Manga,Summer 2018
69,Cipher,11867,OVA,7,1,Cipher,1989-03-03T00:00:00+00:00,,4.75,10510,5382,Drama,Magic Bus,Manga,
70,Cleopatra,2755,Movie,6,1,Cleopatra: Queen of Sex,1970-09-15T00:00:00+00:00,,5.65,,7001,Sci-Fi,Mushi Production,Original,
71,Code Geass: Hangyaku no Lelouch,1575,TV,5,25,Code Geass: Lelouch of the Rebellion,2006-10-06T00:00:00+00:00,2007-07-29T00:00:00+00:00,8.72,41,13,Action,Sunrise,Original,Fall 2006
72,Code Geass: Hangyaku no Lelouch R2,2904,TV,6,25,Code Geass: Lelouch of the Rebellion R2,2008-04-06T00:00:00+00:00,2008-09-28T00:00:00+00:00,8.91,17,33,Action,Sunrise,Original,Spring 2008
73,Concrete Revolutio: Choujin Gensou,31147,TV,9,13,Concrete Revolutio,2015-10-04T00:00:00+00:00,2015-12-27T00:00:00+00:00,6.72,4755,1676,Action,Bones,Original,Fall 2015
74,Cool Cool Bye,9356,OVA,6,1,,1986-01-21T00:00:00+00:00,,5.14,10159,10571,Action,Studio Bogey,Original,
75,Cosmos Pink Shock,4150,OVA,7,1,,1986-07-21T00:00:00+00:00,,5.51,9439,8710,Comedy,AIC,Original,
76,Cowboy Bebop,1,TV,10,26,Cowboy Bebop,1998-04-03T00:00:00+00:00,1999-04-24T00:00:00+00:00,8.79,24,37,Action,Sunrise,Original,Spring 1998
77,Cowboy Bebop: Tengoku no Tobira,5,Movie,9,1,Cowboy Bebop: The Movie,2001-09-01T00:00:00+00:00,,8.39,158,500,Action,Bones,Original,
78,Crayon Shin-chan Movie 01: Action Kamen vs. Haigure Maou,8358,Movie,7,1,,1993-07-24T00:00:00+00:00,,6.89,4019,6498,Action,Shin-Ei Animation,4-koma manga,
79,Crayon Shin-chan Movie 02: Buriburi Oukoku no Hihou,3745,Movie,7,1,,1994-04-23T00:00:00+00:00,,6.93,3855,6392,Action,Shin-Ei Animation,Manga,
80,Crayon Shin-chan Movie 03: Unkokusai no Yabou,6217,Movie,7,1,,1995-04-15T00:00:00+00:00,,6.91,3939,7385,Sci-Fi,Shin-Ei Animation,Manga,
81,Crayon Shin-chan Movie 05: Ankoku Tamatama Daitsuiseki,6460,Movie,7,1,,1997-04-19T00:00:00+00:00,,7.2,2757,7003,Action,,Manga,
82,Crayon Shin-chan Movie 08: Arashi wo Yobu Jungle,8362,Movie,7,1,,2000-04-22T00:00:00+00:00,,7.15,2954,6884,Action,Shin-Ei Animation,Manga,
83,Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,2450,Movie,0,1,,2001-04-21T00:00:00+00:00,,7.7,1027,5971,Comedy,Shin-Ei Animation,Manga,
84,Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen,3744,Movie,0,1,,2002-04-20T00:00:00+00:00,,7.34,2164,7499,Historical,,Manga,
85,Crayon Shin-chan Movie 11: Arashi wo Yobu Eikou no Yakiniku Road,8363,Movie,0,1,,2003-04-19T00:00:00+00:00,,7.03,3485,7928,Action,,Manga,
86,Crayon Shin-chan Movie 19: Arashi wo Yobu Ougon no Spy Daisakusen,10116,Movie,0,1,,2011-04-16T00:00:00+00:00,,6.83,4260,8335,Comedy,Shin-Ei Animation,Manga,
87,Crusher Joe,2722,Movie,7,1,Crusher Joe: The Movie,1983-03-12T00:00:00+00:00,,6.83,4263,6043,Action,Sunrise,Manga,
88,Cyber City Oedo 808,1352,OVA,8,3,Cyber City,1990-06-21T00:00:00+00:00,1991-10-04T00:00:00+00:00,7.18,2828,3654,Action,Madhouse,Original,
89,D-Frag!,20031,TV,7,12,D-Frag!,2014-01-07T00:00:00+00:00,2014-03-25T00:00:00+00:00,7.59,1287,419,Game,Brain's Base,Manga,Winter 2014
90,Daicon Opening Animations,2724,Special,8,2,,1981-08-22T00:00:00+00:00,1983-08-20T00:00:00+00:00,7.72,974,4034,Action,Gainax,Other,
91,Danna ga Nani wo Itteiru ka Wakaranai Ken,26349,TV,7,13,I Can't Understand What My Husband Is Saying,2014-10-03T00:00:00+00:00,2014-12-26T00:00:00+00:00,7.4,1908,498,Slice of Life,Seven,4-koma manga,Fall 2014
92,Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,29067,TV,7,13,I Can't Understand What My Husband Is Saying: 2nd Thread,2015-04-03T00:00:00+00:00,2015-06-26T00:00:00+00:00,7.4,1909,913,Comedy,Seven,4-koma manga,Spring 2015
93,Danshi Koukousei no Nichijou,11843,TV,7,12,Daily Lives of High School Boys,2012-01-10T00:00:00+00:00,2012-03-27T00:00:00+00:00,8.28,231,170,Slice of Life,Sunrise,Web manga,Winter 2012
94,Darkside Blues,1494,Movie,7,1,,1994-10-08T00:00:00+00:00,,6.1,7687,5232,Horror,J.C.Staff,Manga,
95,Dead Leaves,974,Movie,8,1,Dead Leaves,2004-01-16T00:00:00+00:00,,7.22,2667,1758,Adventure,Production I.G,Original,
96,Death Billiards,14353,Movie,6,1,Death Billiards,2013-03-02T00:00:00+00:00,,7.94,613,742,Game,Madhouse,Original,
97,Death Parade,28223,TV,7,12,Death Parade,2015-01-10T00:00:00+00:00,2015-03-28T00:00:00+00:00,8.21,300,48,Game,Madhouse,Original,Winter 2015
98,Deimos no Hanayome: Ran no Kumikyoku,5918,OVA,7,1,Bride of Deimos,1988-08-31T00:00:00+00:00,,5.72,8907,6957,Mystery,Madhouse,Manga,
99,Densetsu Kyojin Ideon,930,TV,6,39,Space Runaway Ideon,1980-05-08T00:00:00+00:00,1981-01-30T00:00:00+00:00,6.96,3747,4538,Sci-Fi,Sunrise,Original,Spring 1980
100,Densetsu Kyojin Ideon: Hatsudou-hen,2761,Movie,8,1,The Ideon: Be Invoked,1982-07-10T00:00:00+00:00,,7.81,796,5783,Sci-Fi,Sunrise,Original,
101,Densetsu Kyojin Ideon: Sesshoku-hen,2760,Movie,6,1,The Ideon: A Contact,1982-07-10T00:00:00+00:00,,6.13,7524,7424,Sci-Fi,Sunrise,Original,
102,Detective Conan Movie 01: The Timed Skyscraper,779,Movie,7,1,Case Closed The Movie: The Time Bombed Skyscraper,1997-04-19T00:00:00+00:00,,7.88,692,2135,Adventure,TMS Entertainment,Manga,
103,Detective Conan Movie 02: The Fourteenth Target,780,Movie,8,1,Case Closed: The Fourteenth Target,1998-04-18T00:00:00+00:00,,7.91,645,2266,Adventure,TMS Entertainment,Manga,
104,Detective Conan Movie 03: The Last Wizard of the Century,781,Movie,7,1,Case Closed Movie 3: The Last Wizard of the Century,1999-04-17T00:00:00+00:00,,8.06,465,2216,Adventure,TMS Entertainment,Manga,
105,Detective Conan Movie 04: Captured in Her Eyes,1363,Movie,7,1,Case Closed Movie 4: Captured In Her Eyes,2000-04-22T00:00:00+00:00,,8.05,467,2295,Adventure,TMS Entertainment,Manga,
106,Detective Conan Movie 05: Countdown to Heaven,1364,Movie,7,1,Case Closed Movie 5: Countdown to Heaven,2001-04-21T00:00:00+00:00,,8.15,348,2274,Adventure,TMS Entertainment,Manga,
107,Detective Conan Movie 06: The Phantom of Baker Street,1365,Movie,5,1,Case Closed: The Phantom of Baker Street,2002-04-20T00:00:00+00:00,,8.32,206,2020,Adventure,TMS Entertainment,Manga,
108,Detective Conan Movie 07: Crossroad in the Ancient Capital,1366,Movie,6,1,,2003-04-19T00:00:00+00:00,,7.85,723,2521,Adventure,TMS Entertainment,Manga,
109,Detective Conan Movie 08: Magician of the Silver Sky,1367,Movie,6,1,,2004-04-17T00:00:00+00:00,,8.12,386,2419,Adventure,TMS Entertainment,Manga,
110,Detective Conan Movie 09: Strategy Above the Depths,1505,Movie,6,1,,2005-04-09T00:00:00+00:00,,7.83,757,2594,Adventure,TMS Entertainment,Manga,
111,Detective Conan Movie 10: Requiem of the Detectives,1506,Movie,7,1,,2006-04-15T00:00:00+00:00,,8.09,421,2438,Adventure,TMS Entertainment,Manga,
112,Detective Conan Movie 11: Jolly Roger in the Deep Azure,2171,Movie,7,1,,2007-04-21T00:00:00+00:00,,7.49,1599,2764,Adventure,TMS Entertainment,Manga,
113,Detective Conan Movie 12: Full Score of Fear,4447,Movie,5,1,,2008-04-19T00:00:00+00:00,,7.83,758,2667,Adventure,TMS Entertainment,Manga,
114,Detective Conan Movie 13: The Raven Chaser,5460,Movie,7,1,Detective Conan: The Jet Black Chaser,2009-04-18T00:00:00+00:00,,8.25,256,2358,Action,Tokyo Movie Shinsha,Manga,
115,Detective Conan Movie 14: The Lost Ship in the Sky,6467,Movie,5,1,,2010-04-17T00:00:00+00:00,,8.16,345,2444,Action,Tokyo Movie Shinsha,Manga,
116,Detective Conan Movie 15: Quarter of Silence,9963,Movie,7,1,,2011-04-16T00:00:00+00:00,,8.04,479,2699,Adventure,TMS Entertainment,Manga,
117,Detective Conan Movie 16: The Eleventh Striker,12117,Movie,4,1,,2012-04-14T00:00:00+00:00,,7.75,911,2865,Adventure,TMS Entertainment,Manga,
118,Detective Conan Movie 17: Private Eye in the Distant Sea,14735,Movie,7,1,,2013-04-20T00:00:00+00:00,,7.72,976,3043,Adventure,TMS Entertainment,Manga,
119,Detective Conan Movie 18: The Sniper from Another Dimension,21419,Movie,6,1,,2014-04-19T00:00:00+00:00,,8.1,411,2913,Action,TMS Entertainment,Manga,
120,Detective Conan Movie 19: The Hellfire Sunflowers,28479,Movie,4,1,Detective Conan: The Sunflowers of Inferno,2015-04-18T00:00:00+00:00,,7.73,940,3182,Action,TMS Entertainment,Manga,
121,Detective Conan Movie 20: The Darkest Nightmare,32005,Movie,3,1,,2016-04-16T00:00:00+00:00,,8.19,313,3101,Action,TMS Entertainment,Manga,
122,Detective Conan Movie 21: The Crimson Love Letter,34430,Movie,6,1,,2017-04-15T00:00:00+00:00,,7.7,1028,3653,Action,TMS Entertainment,Manga,
123,Detective Conan Movie 22: Zero The Enforcer,35798,Movie,5,1,Detective Conan: Zero the Enforcer,2018-04-13T00:00:00+00:00,,7.8,812,3913,Action,TMS Entertainment,Manga,
124,Detective Conan OVA 01: Conan vs. Kid vs. Yaiba,1369,OVA,7,1,,2000-01-01T00:00:00+00:00,,7.26,2511,3908,Adventure,TMS Entertainment,Manga,
125,Detective Conan OVA 02: 16 Suspects,2512,OVA,6,1,,2002-01-01T00:00:00+00:00,,7.33,2186,4224,Adventure,TMS Entertainment,Manga,
126,Detective Conan OVA 03: Conan and Heiji and the Vanished Boy,2513,OVA,5,1,,2003-01-01T00:00:00+00:00,,7.21,2692,4332,Adventure,TMS Entertainment,Manga,
127,Detective Conan OVA 05: The Target is Kogoro! The Detective Boys' Secret Investigation,2515,OVA,6,1,,2005-01-01T00:00:00+00:00,,7.27,2461,4487,Adventure,TMS Entertainment,Manga,
128,Detective Conan OVA 06: Follow the Vanished Diamond! Conan & Heiji vs. Kid!,1368,OVA,6,1,,2006-03-15T00:00:00+00:00,,7.43,1790,4287,Police,TMS Entertainment,Manga,
129,Detective Conan OVA 07: A Challenge from Agasa! Agasa vs. Conan and the Detective Boys,2597,OVA,7,1,,2007-03-13T00:00:00+00:00,,7.28,2434,4504,Adventure,TMS Entertainment,Manga,
130,Detroit Metal City,3702,OVA,8,12,Detroit Metal City: The Animated Series,2008-08-08T00:00:00+00:00,2008-10-28T00:00:00+00:00,8.15,349,800,Music,Studio 4°C,Manga,
131,Devilman: Tanjou-hen,2354,OVA,8,1,Devilman: The Birth,1987-11-01T00:00:00+00:00,,7.15,2955,3456,Demons,Oh! Production,Manga,
132,Devilman: Yochou Sirene-hen,2355,OVA,0,1,Devilman: The Demon Bird,1990-02-25T00:00:00+00:00,,7.02,3541,3955,Demons,Oh! Production,Manga,
133,Digimon Adventure,552,TV,7,54,Digimon: Digital Monsters,1999-03-07T00:00:00+00:00,2000-03-26T00:00:00+00:00,7.8,813,399,Action,Toei Animation,Other,Spring 1999
134,Digimon Adventure 02,1313,TV,6,50,Digimon Adventure 02,2000-04-02T00:00:00+00:00,2001-03-25T00:00:00+00:00,7.25,2542,749,Action,Toei Animation,Original,Spring 2000
135,Digimon Adventure Movie,2961,Movie,0,1,Digimon: The Movie,1999-03-06T00:00:00+00:00,,7.57,1357,1406,Action,Toei Animation,Original,
136,Digimon Tamers,874,TV,8,51,Digimon Tamers,2001-04-01T00:00:00+00:00,2002-03-31T00:00:00+00:00,7.63,1180,896,Adventure,Toei Animation,Original,Spring 2001
137,Digital Juice,1105,OVA,7,6,,2002-01-25T00:00:00+00:00,,5.49,9489,6138,Comedy,Studio 4°C,Unknown,
138,Dirty Pair,424,TV,8,24,Dirty Pair,1985-07-15T00:00:00+00:00,1985-12-26T00:00:00+00:00,7.17,2863,3482,Adventure,Sunrise,Light novel,Summer 1985
139,Dirty Pair: The Movie,1796,Movie,7,1,Dirty Pair: Project Eden,1987-03-14T00:00:00+00:00,,7.07,3322,5650,Action,Sunrise,Light novel,
140,Dominion,1151,OVA,8,4,,1988-05-27T00:00:00+00:00,1989-08-11T00:00:00+00:00,6.94,3826,4253,Sci-Fi,Agent 21,Manga,
141,Dororon Enma-kun Meeramera,9493,TV,7,12,Ghastly Prince Enma Burning Up,2011-04-08T00:00:00+00:00,2011-06-24T00:00:00+00:00,6.54,5636,4014,Action,Brain's Base,Manga,Spring 2011
142,Down Load: Namu Amida Butsu wa Ai no Uta,3152,OVA,8,1,Download: Devil's Circuit,1992-12-18T00:00:00+00:00,,5.79,8706,8669,Action,Madhouse,Original,
143,Dr. Slump Movie 01: Arale-chan Hello! Fushigi Shima,7666,Movie,7,1,Dr. Slump and Arale-chan: Hello! Wonder Island,1981-07-18T00:00:00+00:00,,6.36,6490,9081,Comedy,Toei Animation,Manga,
144,"Dr. Slump Movie 02: ""Hoyoyo!"" Uchuu Daibouken",8546,Movie,0,1,"Dr. Slump: ""Hoyoyo!"" Space Adventure",1982-07-10T00:00:00+00:00,,6.46,6024,9801,Comedy,Toei Animation,Manga,
145,Dr. Stone,38691,TV,6,24,Dr. Stone,2019-07-05T00:00:00+00:00,2019-12-13T00:00:00+00:00,8.35,182,94,Sci-Fi,TMS Entertainment,Manga,Summer 2019
146,Dragon Ball Kai,6033,TV,7,97,Dragon Ball Z Kai,2009-04-05T00:00:00+00:00,2011-03-27T00:00:00+00:00,7.75,912,536,Action,Toei Animation,Manga,Spring 2009
147,Dragon Ball Kai (2014),22777,TV,8,61,Dragon Ball Z Kai: The Final Chapters,2014-04-06T00:00:00+00:00,2015-06-28T00:00:00+00:00,7.72,977,1163,Action,Toei Animation,Manga,Spring 2014
148,Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni,11359,Special,5,1,Dragon Ball Z Kai: Bring Peace to the Future! Goku's Spirit is Eternal,2011-08-02T00:00:00+00:00,,7.54,1459,2654,Action,Toei Animation,Manga,
149,Dragon Ball Super Movie: Broly,36946,Movie,8,1,Dragon Ball Super: Broly,2018-12-14T00:00:00+00:00,,8.11,399,790,Action,Toei Animation,Manga,
150,Dragon Ball Z,813,TV,7,291,Dragon Ball Z,1989-04-26T00:00:00+00:00,1996-01-31T00:00:00+00:00,8.17,335,81,Action,Toei Animation,Manga,Spring 1989
151,Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!,894,Movie,7,1,Dragon Ball Z: Dead Zone,1989-07-15T00:00:00+00:00,,6.72,4760,1410,Action,Toei Animation,Manga,
152,Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu,895,Movie,8,1,Dragon Ball Z: The World's Strongest,1990-03-10T00:00:00+00:00,,6.67,4981,1499,Action,Toei Animation,Manga,
