,title,mal id,type,score,total episodes,english title,air date start,air date end,average score,rank,popularity,genre,studio,source,season
392,Mob Psycho 100,32182,TV,10,12,Mob Psycho 100,2016-07-11T00:00:00+00:00,2016-09-27T00:00:00+00:00,8.49,103,47,Action,Bones,Web manga,Summer 2016
393,Mob Psycho 100 II,37510,TV,9,13,Mob Psycho 100 II,2019-01-07T00:00:00+00:00,2019-04-01T00:00:00+00:00,8.86,19,108,Action,Bones,Web manga,Winter 2019
394,Mobile Suit Gundam,80,TV,8,43,Mobile Suit Gundam,1979-04-07T00:00:00+00:00,1980-01-26T00:00:00+00:00,7.79,844,1408,Action,Sunrise,Original,Spring 1979
395,Mobile Suit Gundam 00,2581,TV,6,25,Mobile Suit Gundam 00,2007-10-06T00:00:00+00:00,2008-03-29T00:00:00+00:00,8.15,356,762,Action,Sunrise,Original,Fall 2007
396,Mobile Suit Gundam 00 Second Season,3927,TV,0,25,Mobile Suit Gundam 00: Second Season,2008-10-05T00:00:00+00:00,2009-03-29T00:00:00+00:00,8.12,396,1111,Action,Sunrise,Original,Fall 2008
397,Mobile Suit Gundam 0080: War in the Pocket,82,OVA,8,6,Mobile Suit Gundam 0080: War in the Pocket,1989-03-25T00:00:00+00:00,1989-08-25T00:00:00+00:00,7.89,676,2411,Military,Sunrise,Original,
398,Mobile Suit Gundam 0083: Stardust Memory,84,OVA,4,13,Mobile Suit Gundam 0083: Stardust Memory,1991-05-23T00:00:00+00:00,1992-09-24T00:00:00+00:00,7.3,2357,2749,Military,Sunrise,Original,
399,Mobile Suit Gundam 0083: Stardust Memory - The Mayfly of Space,10581,Special,5,1,,1992-01-01T00:00:00+00:00,,6.01,8047,6085,Action,Sunrise,Radio,
400,Mobile Suit Gundam F91,88,Movie,6,1,Mobile Suit Gundam F91,1991-03-16T00:00:00+00:00,,6.69,4901,3349,Drama,Sunrise,Unknown,
401,Mobile Suit Gundam I,1090,Movie,0,1,,1981-03-14T00:00:00+00:00,,7.29,2380,3150,Action,Sunrise,Original,
402,Mobile Suit Gundam II: Soldiers of Sorrow,1091,Movie,0,1,,1981-07-11T00:00:00+00:00,,7.39,1948,3419,Action,Sunrise,Original,
403,Mobile Suit Gundam III: Encounters in Space,1092,Movie,10,1,,1982-03-13T00:00:00+00:00,,7.78,870,3409,Action,Sunrise,Original,
404,Mobile Suit Gundam SEED,93,TV,5,50,Mobile Suit Gundam SEED,2002-10-05T00:00:00+00:00,2003-09-27T00:00:00+00:00,7.8,828,1013,Action,Sunrise,Original,Fall 2002
405,Mobile Suit Gundam Thunderbolt: December Sky,33221,Movie,7,1,,2016-06-25T00:00:00+00:00,,7.9,664,4087,Action,Sunrise,Manga,
406,Mobile Suit Gundam Unicorn,6336,OVA,6,7,Mobile Suit Gundam Unicorn,2010-03-12T00:00:00+00:00,2014-06-06T00:00:00+00:00,8.17,341,1667,Action,Sunrise,Novel,
407,Mobile Suit Gundam Wing,90,TV,5,49,Mobile Suit Gundam Wing,1995-04-07T00:00:00+00:00,1996-03-29T00:00:00+00:00,7.73,953,1072,Action,Sunrise,Original,Spring 1995
408,Mobile Suit Gundam ZZ,86,TV,6,47,Mobile Suit Gundam ZZ,1986-03-01T00:00:00+00:00,1987-01-31T00:00:00+00:00,6.67,4996,2890,Space,Sunrise,Original,Spring 1986
409,Mobile Suit Gundam: Char's Counterattack,87,Movie,7,1,Mobile Suit Gundam: Char's Counterattack,1988-03-12T00:00:00+00:00,,7.68,1088,2736,Military,Sunrise,Novel,
410,Mobile Suit Gundam: Iron-Blooded Orphans,31251,TV,4,25,Mobile Suit Gundam: Iron-Blooded Orphans,2015-10-04T00:00:00+00:00,2016-03-27T00:00:00+00:00,8.02,514,887,Action,Sunrise,Original,Fall 2015
411,Mobile Suit SD Gundam Mk I,2302,Special,6,3,,1988-03-12T00:00:00+00:00,1988-05-25T00:00:00+00:00,6.33,6632,7153,Mecha,Sunrise,Unknown,
412,Mobile Suit Victory Gundam,89,TV,8,51,Mobile Suit V Gundam,1993-04-02T00:00:00+00:00,1994-03-25T00:00:00+00:00,6.76,4598,3529,Drama,Sunrise,Original,Spring 1993
413,Mobile Suit Zeta Gundam,85,TV,8,50,Mobile Suit Zeta Gundam,1985-03-02T00:00:00+00:00,1986-02-22T00:00:00+00:00,7.92,644,2127,Military,Sunrise,Original,Spring 1985
